HHID,Home,Urb,Comp,Child,Day,SEC,NumCars,FEV,PHEV,EV,Age,Driver,Gender,Wstat,pAge,pDriver,pGender,pWstat
149220,5709,3,0,0,0,0,1,false,false,false,0,true,0,0,NA,NA,NA,NA
149219,5709,3,0,0,0,0,1,false,false,false,0,true,0,0,NA,NA,NA,NA
149221,5709,3,0,0,0,0,1,false,false,false,0,true,0,0,NA,NA,NA,NA
149222,5709,3,0,0,0,1,1,false,false,false,0,true,0,0,NA,NA,NA,NA
149224,5709,3,0,0,0,0,0,false,false,false,1,false,0,0,NA,NA,NA,NA
149225,5709,3,0,0,0,0,1,false,false,false,1,true,0,0,NA,NA,NA,NA
149223,5709,3,0,1,0,0,1,false,false,false,0,true,0,0,NA,NA,NA,NA
149228,5709,3,0,0,0,0,0,false,false,false,2,false,0,0,NA,NA,NA,NA
149226,5703,3,0,2,0,0,1,false,false,false,1,true,0,0,NA,NA,NA,NA
149227,5709,3,0,3,0,0,1,false,false,false,1,true,0,0,NA,NA,NA,NA
149229,5703,3,0,0,0,0,0,false,false,false,2,false,0,0,NA,NA,NA,NA
149230,5709,3,0,0,0,0,0,false,false,false,2,false,0,0,NA,NA,NA,NA
149232,5709,3,0,0,0,0,0,false,false,false,2,false,0,0,NA,NA,NA,NA
149231,5709,3,0,0,0,0,0,false,false,false,2,false,0,0,NA,NA,NA,NA
149233,5709,3,0,0,0,0,0,false,false,false,2,true,0,0,NA,NA,NA,NA
149234,5703,3,0,0,0,0,0,false,false,false,2,true,0,0,NA,NA,NA,NA
149235,5709,3,0,0,0,0,1,false,false,false,2,false,0,0,NA,NA,NA,NA
149236,5703,3,0,0,0,0,1,false,false,false,2,true,0,0,NA,NA,NA,NA
149237,5709,3,0,0,0,0,1,false,false,false,2,true,0,0,NA,NA,NA,NA
149239,5703,3,0,0,0,0,1,false,false,false,2,true,0,0,NA,NA,NA,NA
149238,5709,3,0,0,0,0,1,false,false,false,2,true,0,0,NA,NA,NA,NA
149241,5703,3,0,0,0,0,1,false,false,false,2,true,0,0,NA,NA,NA,NA
149240,5709,3,0,0,0,0,1,false,false,false,2,true,0,0,NA,NA,NA,NA
149242,5703,3,0,0,0,0,1,false,false,false,2,true,0,0,NA,NA,NA,NA
149244,5703,3,0,0,0,0,1,false,false,false,2,true,0,0,NA,NA,NA,NA
